Pop/GDP,Ind/Tran/Build,AGLU,Fossil,Energy,CCS,LT Price,LUC Price,ST Price,Average Global Cost (%GDP),2100 Forcing
0,3,1,1,0,0,0,0,0,0.001935578,5.59531
1,3,1,1,0,0,0,0,0,0.002092239,5.35178
2,3,1,1,0,0,0,0,0,0.00267871,4.82539
3,3,1,1,0,0,0,0,0,0.001872954,4.85256
4,3,1,1,0,0,0,0,0,0.001546881,6.41973
0,4,1,1,0,0,0,0,0,0.001700001,5.53653
1,4,1,1,0,0,0,0,0,0.001917739,5.34954
2,4,1,1,0,0,0,0,0,0.002586792,4.83452
3,4,1,1,0,0,0,0,0,0.001853285,4.90033
4,4,1,1,0,0,0,0,0,0.001292953,6.33263
0,0,2,1,0,0,0,0,0,0.001471358,5.41258
1,0,2,1,0,0,0,0,0,0.001683765,5.1914
2,0,2,1,0,0,0,0,0,0.002392968,4.77911
3,0,2,1,0,0,0,0,0,0.001624131,4.8233
4,0,2,1,0,0,0,0,0,0.001128315,6.03413
0,1,2,1,0,0,0,0,0,0.001791409,5.96623
1,1,2,1,0,0,0,0,0,0.001993108,5.6392
2,1,2,1,0,0,0,0,0,0.002667127,5.03308
3,1,2,1,0,0,0,0,0,0.001869051,5.16641
4,1,2,1,0,0,0,0,0,0.001397518,6.8039
0,2,2,1,0,0,0,0,0,0.002033081,6.0941
1,2,2,1,0,0,0,0,0,0.002209615,5.71224
2,2,2,1,0,0,0,0,0,0.002801104,5.06263
3,2,2,1,0,0,0,0,0,0.001978755,5.20266
4,2,2,1,0,0,0,0,0,0.001655904,6.9536
0,3,2,1,0,0,0,0,0,0.001999631,6.05684
1,3,2,1,0,0,0,0,0,0.002162434,5.68432
2,3,2,1,0,0,0,0,0,0.002765862,5.05245
3,3,2,1,0,0,0,0,0,0.001914853,5.17251
4,3,2,1,0,0,0,0,0,0.001630311,6.91902
0,4,2,1,0,0,0,0,0,0.001743997,5.99866
1,4,2,1,0,0,0,0,0,0.001970364,5.68235
2,4,2,1,0,0,0,0,0,0.00265698,5.05956
3,4,2,1,0,0,0,0,0,0.001886923,5.21858
0,0,3,1,0,0,0,0,0,0.001440673,4.89955
1,0,3,1,0,0,0,0,0,0.001644822,4.80755
2,0,3,1,0,0,0,0,0,0.002333534,4.50264
3,0,3,1,0,0,0,0,0,0.001611431,4.46943
